Time,Temperature 1,Photoresistor Value,Humidity,Temperature 2,Plant1Moisure,Plant2Moisure
2020-06-30 00:13:57.796822,27.0,255,35,27,216,211
2020-06-30 00:14:01.636837,27.062,255,35,27,215,211
2020-06-30 00:14:05.476808,27.125,255,35,27,216,211
2020-06-30 00:14:09.316925,27.125,255,35,27,216,211
2020-06-30 00:14:13.156831,27.187,255,35,27,216,211
2020-06-30 00:14:16.996993,27.25,255,35,27,216,211
2020-06-30 00:14:20.836960,27.312,255,35,27,216,211
2020-06-30 00:14:24.676814,27.25,255,35,27,216,211
2020-06-30 00:14:28.516855,27.25,255,35,27,216,211
2020-06-30 00:14:32.356924,27.25,255,35,27,216,211
2020-06-30 00:14:36.196894,27.25,255,35,27,216,211
2020-06-30 00:14:40.036963,27.187,255,35,27,216,211
2020-06-30 00:14:43.876833,27.187,255,35,27,216,211
2020-06-30 00:14:47.716860,27.187,255,35,27,216,211
2020-06-30 00:14:51.556910,27.187,255,35,27,216,211
2020-06-30 00:14:55.396856,27.187,255,35,27,216,211
2020-06-30 00:14:59.236918,27.187,255,35,27,216,211
2020-06-30 00:15:03.076914,27.125,255,35,27,216,211
2020-06-30 00:15:06.916925,27.125,255,35,27,216,211
2020-06-30 00:15:10.756874,27.125,255,35,27,216,211
2020-06-30 00:15:14.596927,27.125,255,35,27,216,211
2020-06-30 00:15:18.436911,27.125,255,35,27,216,211
2020-06-30 00:15:22.276897,27.125,255,35,27,216,211
2020-06-30 00:15:26.116905,27.125,255,35,27,216,211
2020-06-30 00:15:29.956888,27.125,255,35,27,216,211
2020-06-30 00:15:33.796870,27.125,255,35,27,216,211
2020-06-30 00:24:05.395143,27.062,255,38,27,221,217
2020-06-30 00:24:09.237160,27.062,255,38,27,222,217
2020-06-30 00:24:13.077046,27.125,255,38,27,222,217
2020-06-30 00:24:16.915851,27.062,255,38,27,221,217
2020-06-30 00:24:20.757043,27.125,255,38,27,221,217
2020-06-30 00:24:24.597086,27.125,255,38,27,222,217
2020-06-30 00:24:28.437031,27.312,255,38,27,220,215
2020-06-30 00:24:32.277069,27.312,255,95,28,220,215
2020-06-30 00:24:36.117048,27.375,255,95,28,220,215
2020-06-30 00:24:39.957044,27.375,255,95,28,220,215
2020-06-30 00:24:43.797071,27.312,255,95,28,220,215
2020-06-30 00:24:47.637071,27.375,255,95,28,220,112
2020-06-30 00:24:51.477015,27.312,255,95,28,220,113
2020-06-30 00:24:55.317082,27.312,255,95,27,214,215
2020-06-30 00:24:59.157017,27.25,255,95,27,191,216
2020-06-30 00:25:02.997085,27.312,255,81,27,168,216
2020-06-30 00:25:06.836924,27.312,255,68,27,217,215
2020-06-30 00:25:10.676963,27.75,255,60,27,219,215
2020-06-30 00:25:14.516952,28.875,255,54,27,219,215
2020-06-30 00:25:18.355869,29.5,255,50,27,219,215
2020-06-30 00:25:22.196949,29.812,255,47,27,219,215
2020-06-30 00:25:26.036935,29.187,255,45,27,219,215
2020-06-30 00:25:29.876991,28.812,151,43,27,228,223
2020-06-30 00:25:33.716992,28.625,102,42,27,232,227
2020-06-30 00:25:37.556986,28.5,102,41,27,232,227
2020-06-30 00:25:41.396983,28.375,255,40,27,219,215
2020-06-30 00:25:45.236927,28.25,255,40,27,219,215
2020-07-01 02:04:07.557469,29.0,243,47,28,217,131
2020-07-01 02:04:11.398216,29.0,243,42,28,217,131
2020-07-01 02:04:15.237668,29.0,243,43,29,218,131
2020-07-01 02:04:19.077330,29.0,243,42,28,218,131
2020-07-01 02:04:22.917349,28.937,244,43,29,217,131
2020-07-01 02:04:26.757305,28.937,243,42,28,217,131
2020-07-01 02:04:30.597701,28.937,243,43,29,217,131
2020-07-01 02:04:34.437261,28.937,243,43,29,217,131
2020-07-01 02:04:38.277296,28.937,243,43,29,217,131
2020-07-01 02:04:42.117648,28.937,244,42,28,203,131
2020-07-01 02:04:45.957670,28.937,244,43,29,177,131
2020-07-01 02:04:49.797659,28.875,243,43,29,216,131
2020-07-01 02:04:53.637650,28.937,244,43,29,217,131
2020-07-01 02:04:57.477665,28.937,243,43,29,217,131
2020-07-01 02:05:01.317633,28.812,243,43,29,217,131
2020-07-01 02:05:05.157638,28.812,243,43,29,217,131
2020-07-01 02:05:08.996391,28.812,243,43,29,217,131
2020-07-01 02:05:12.837633,28.812,244,43,29,218,131
2020-07-01 02:05:16.677656,28.812,243,43,29,217,131
2020-07-01 02:05:20.520768,28.812,243,47,28,217,131
2020-07-01 02:05:24.357640,28.812,243,43,29,217,131
2020-07-01 02:05:28.197653,28.687,246,43,29,218,131
2020-07-01 02:05:32.037651,28.687,244,43,29,217,131
2020-07-01 02:05:35.877649,28.687,244,43,29,218,131
2020-07-01 02:05:39.716395,28.687,243,43,29,217,131
2020-07-01 02:05:43.557641,28.687,243,43,29,213,131
2020-07-01 02:05:47.397183,28.687,243,42,28,187,131
2020-07-01 02:05:51.237146,28.625,243,47,28,161,131
2020-07-01 02:05:55.074977,28.687,243,47,28,136,131
2020-07-01 02:05:58.915244,28.625,243,42,28,112,131
2020-07-01 02:06:02.757225,28.625,243,42,28,99,131
2020-07-01 02:06:06.597257,28.687,243,43,29,217,131
2020-07-01 02:06:10.437240,28.75,243,42,28,217,131
2020-07-01 02:06:14.277242,28.687,243,43,29,217,131
2020-07-01 02:06:18.117241,28.687,243,43,29,217,131
2020-07-01 02:06:21.957157,28.687,244,43,29,217,131
2020-07-01 02:06:25.797152,28.625,244,43,29,216,131
2020-07-01 02:06:29.637218,28.687,243,43,29,217,131
2020-07-01 02:06:33.477227,28.687,243,43,29,217,131
2020-07-01 02:06:37.317256,28.687,243,42,28,217,130
2020-07-01 02:06:41.156087,28.687,243,44,29,217,130
2020-07-01 02:06:44.997285,28.687,243,43,29,217,130
2020-07-01 02:06:48.837231,28.687,243,43,29,217,129
2020-07-01 02:06:52.677227,28.687,243,43,29,217,131
2020-07-01 02:06:56.517258,28.687,243,42,28,217,131
2020-07-01 02:07:00.357254,28.687,243,43,29,217,130
2020-07-01 02:07:04.197187,28.687,243,42,28,217,131
2020-07-01 02:07:08.037167,28.687,243,43,29,216,130
2020-07-01 02:07:11.876012,28.687,243,43,29,218,131
2020-07-01 02:07:15.717162,28.687,243,42,28,218,131
2020-07-01 02:07:19.557148,28.687,243,43,29,218,131
2020-07-01 02:07:23.397172,28.687,243,43,29,218,131
2020-07-01 02:07:27.237147,28.687,243,43,29,218,131
2020-07-01 02:07:31.077140,28.75,243,43,29,218,131
2020-07-01 02:07:34.917138,28.75,243,43,29,218,131
2020-07-01 02:07:38.757139,28.687,243,43,29,218,131
2020-07-01 02:07:42.595981,28.75,243,43,29,218,131
2020-07-01 02:07:46.437212,28.75,243,43,29,218,131
2020-07-01 02:07:50.277143,28.75,243,42,28,217,131
2020-07-01 02:07:54.117135,28.812,243,43,29,218,132
2020-07-01 02:07:57.957143,28.75,243,43,29,218,131
2020-07-01 02:08:01.797168,28.75,243,43,29,218,132
2020-07-01 02:08:05.637142,28.75,243,43,29,218,135
2020-07-01 02:08:09.477150,28.75,243,43,29,218,134
